"Topic 1","Topic 2","Topic 3","Topic 4"
"contact airbnb","automate message","customer service","contact question"
"airbnb platform","guest message","bot automatically","question concern"
"list description","automate guest","contact question","reply message"
"phone bot","claude code","question concern","system prompt"
"airbnb phone","guest communication","post review","openai support"
"communication hostguest","house rule","minute bot","post screenshot"
"conversation respectful","check instruction","post process","bot gpt"
"description issue","dynamic price","review shortly","channel bot"
"detail list","send message","shortly post","chatgpt conversation"
"hostguest airbnb","message system","wait minute","chatgptrelated concern"
