"platform","review_id","author","country","title","body","rating","date_posted","experience","verified","language","reply","url","platform_category","ai_signals","ai_related"
"turo","6a171b26fcde9b123b98cd05","Silvia Akopyan","US","JAMES ","JAMES , was missing in action the whole time, he never replied to any of my messages, i had left my personal item in the car. i left several messages to ask if I may drive by to pick up and he never replied. even when i messaged him stating i will be 30 minutes late , he never cared to respond.  Now a days there is no humans !!!!",1,"2026-05-27","2026-05-23","false","en",NA,"https://www.trustpilot.com/reviews/6a171b26fcde9b123b98cd05","rental","no_human",TRUE
"turo","6a162d1e9b466463a0fb024c","Rae's Media Creation","US","I had an extremely frustrating…","I had an extremely frustrating experience with Turo while trying to rent a vehicle for my anniversary. I attempted to rent a vehicle through Turo and selected Affirm as my payment option. Affirm showed that I had a scheduled payment, but Turo showed that I had no upcoming trip.

I contacted Turo support and was told there was no trip planned under my account. The problem is that no one could give me any confirmation number, cancellation number, or clear documentation because they said there was no trip. Meanwhile, Affirm still showed a payment connected to Turo. That left me stuck between Turo and Affirm with no clear answer and no rental.

After that, I still could not rent from Turo at all. I tried using a different card, a different phone number, and even a private browser window, but I still could not complete a booking. Turo could not clearly explain whether my account was restricted, whether there was a verification issue, whether it was connected to the Affirm problem, or what steps I needed to take to fix it.

This was not a casual rental. This was for a special anniversary trip, and the lack of clear communication completely ruined the experience. Turo should not allow a customer to end up with a payment issue through Affirm while showing no actual trip, then fail to explain why the customer can no longer rent.

Very disappointing customer service, poor communication, and no real resolution. I would be very cautious using Turo, especially if you are renting for an important event or using Affirm as a payment option.
",1,"2026-05-27","2026-05-22","false","en",NA,"https://www.trustpilot.com/reviews/6a162d1e9b466463a0fb024c","rental","no_human",TRUE
"turo","6a14e2c47773a8ed4a658846","J W","US","I am filing this complaint due to…","I am filing this complaint due to Turo’s failure to resolve a dispute regarding a $50 promotional credit and their failure to uphold a commitment made by their support team.
On May 23, 2026, I canceled a car rental reservation for an upcoming August 2026 trip. Because this was canceled well in advance, there was no financial impact on the host or the platform. However, Turo failed to refund the $50 promotional credit applied to this booking.
When I contacted support, I was informed that the credit was forfeited and that I would essentially have to wait until next year to receive another one—a highly unreasonable response for a loyal customer of five years. I was then given escalation case number 20260523-8Q0TGW and was explicitly promised that a representative would contact me within 24 hours to discuss issuing the $50 as a travel credit.
As of May 25, 2026, no one has reached out to me, and the issue remains unresolved. I am seeking the immediate reinstatement of my $50 promotional credit. I believe that ignoring a customer's escalation case is poor business practice and violates the commitment to service that a company of Turo's size should uphold.",1,"2026-05-26","2026-05-25","false","en",NA,"https://www.trustpilot.com/reviews/6a14e2c47773a8ed4a658846","rental","no_human",TRUE
"turo","6a1348f47b9ad5d254e7d1ef","Melanie Bolman","US","Beware","The car was great, picking up dropping off no problem.Extra miles charged on drop off day Sunday. No mention of cannibis until late the next day Monday evening. Then V&G tried to say I smoked cannabis in their car. No one smokes anything, that was in their car. I replied back and they have said nothing. They are scammers  trying to get $150 more dollars from me. Don't rent from them!!!!",2,"2026-05-24","2026-05-13","false","en",NA,"https://www.trustpilot.com/reviews/6a1348f47b9ad5d254e7d1ef","rental","no_human",TRUE
"turo","6a123cf43c5a68d5fea4f20f","Bob Smith","US","The cars owner quoted me a price","The cars owner quoted me a price, I submitted  my CC account. #s which held the car for the agreed dates. All went well with the experience until the final CC  paid receipt came and an "" Airport parking fee"" had been added to the negotiated price. The car was no where near an airport!
I contacted the cars owner, he said take it up with the company, TURO, and ""good luck"". Im in the process of just that and believe I will be credited with the backing of my credit card company and the documented invoice
When i check with TURO idiiot  AI it said somestimes this fee is ""accidentally added."". Would you like to speak to my assistant. Im not kidding! 
The important thing is, REVIEW receipts that arrive weeks or months after an agreement of charges. Dispute false charges with both the rip off company, it'screp and your CC bank.
PS .dont review anything until you get ur CC statement or final receipt submitter to the CC bank.
The last word: I win. Turo loses! 
My CC bank refunded the bogus airport parking fee! 


",2,"2026-05-24","2026-05-20","false","en",NA,"https://www.trustpilot.com/reviews/6a123cf43c5a68d5fea4f20f","rental","ai",TRUE
"turo","6a1201791253874947b04e23","Till","US","This was a fraudulent host","This was a fraudulent host, he planted different pictures in the car of cigarette butts burned on the floor in the backseat when no one ever got in the back.. I was the only person in the car... The car was damaged it had really bad electrical issues.. the brakes were bad they squeaked and the brake light was on.. the reverse lights didn't work and the trunk wouldn't close.. the worst host ever",1,"2026-05-23","2026-05-20","false","en",NA,"https://www.trustpilot.com/reviews/6a1201791253874947b04e23","rental","no_human",TRUE
"turo","6a0fd40dc2606ee52864c404","Kenny K","US","It's convenient and so many choices","It's convenient and so many choices. I also like the ability to connect with the hosts directly,if there are any mechanical issues. Not having to go through a turo 1-800 automated switchboard is a great way to keep your business streamlined ",5,"2026-05-22","2026-05-21","false","en",NA,"https://www.trustpilot.com/reviews/6a0fd40dc2606ee52864c404","rental","automated",TRUE
"turo","6a0f4505cac0a331e2993638","Juniper","GB","Would give zero stars if possible","Would give zero stars if possible. Truly atrocious service that does not value customers at all. They have no standards for hosts so we booked two cars that consecutively got cancelled by hosts, the last being cancelled 48 hours before our trip. What they see as customer service in this situation, where using their service has put us in a terrible situation of not having a car right before we need it, is to refund your money, that you are entitled to. Avoid this company if you need a reliable service and if you need a car for a specific date or occasion or expect any decent customer service. Customer service will also just read off a script and repeat themselves. May as well be an A.I. or bot",1,"2026-05-21","2026-05-21","false","en",NA,"https://www.trustpilot.com/reviews/6a0f4505cac0a331e2993638","rental","ai;bot",TRUE
"turo","6a0ea69092143c079003e8b1","Carlos Javier","US","Extremely disappointed with my recent…","Extremely disappointed with my recent experience with Turo and their claims process.

During my trip, another driver backed into the vehicle, left a note, accepted responsibility, and provided insurance information. I fully cooperated from the beginning and provided everything Turo needed.

What happened next was honestly shocking.

Turo repeatedly told me the third party’s insurance “denied coverage” because the damages were supposedly below the driver’s deductible. Then, almost immediately after emailing me, they charged $500 directly to my credit card before I had any meaningful opportunity to review documents, dispute the determination, or verify the insurance information myself.

Later, the at-fault driver personally contacted Progressive again and was told there may have been a processing error. According to him, Progressive escalated the claim for payment and even stated the deductible should not apply the way Turo described it. The driver provided me with the Progressive representative’s direct contact information and encouraged Turo to contact them directly.

Despite this contradictory information, Turo chose to:

* finalize the matter internally,
* keep the charge on my account,
* and tell ME to personally recover the money from the at-fault driver myself.

That is incredibly unprofessional.

The entire process felt like an abuse of power by a company that knows it can immediately charge customers first and sort things out later. There was no meaningful dispute process, no neutral review, and no real opportunity to resolve conflicting insurance information before funds were removed from my account.

To make matters worse, the actual damage estimate was only around $681 for relatively minor bumper damage. Yet Turo acted as though the matter was completely settled while conflicting information still existed. 

I understand companies have Terms of Service. That is not the issue. The issue is how poorly and aggressively this claim was handled from a customer-service and fairness standpoint.

I expected professionalism and reasonable investigation. Instead, I got automated charges, contradictory explanations, and zero meaningful opportunity to resolve the situation before my card was charged.

Very disappointing experience.",1,"2026-05-21","2026-05-18","false","en",NA,"https://www.trustpilot.com/reviews/6a0ea69092143c079003e8b1","rental","automated",TRUE
"turo","6a0dea50c530b00b6f4524ce","Pierre Calbert","US","I was falsely accused of leaving…","I was falsely accused of leaving tobacco in a non-smoking car. It was a AI picture but because I did not take pictures myself, they still blame me. The pictures were blankly AI generated. I don’t know how far I’m gonna go with this company because if they are letting people get away with issues like this, and you cannot talk to a physical person about the situation I don’t wanna deal with this company. ",1,"2026-05-20","2026-04-23","false","en",NA,"https://www.trustpilot.com/reviews/6a0dea50c530b00b6f4524ce","rental","ai",TRUE
